ID,CC,Sex,Home.Cage,Fam.ID,DOB,Sire.ID,Dam.ID
54354.1,WR,M,F55-38,89,NA,51827.1,51740.1
54365.1,WR,F,F55-39,91,NA,51670.1,51995.1
54366.1,WR,M,F55-40,91,NA,51670.1,51995.1
54341.1,WR,F,F55-33,92,NA,54191.1,51931.1
54334.1,BL,M,F55-34,92,NA,54191.1,51931.1
54329.1,AR,F,F55-33,93,NA,52024.1,51899.1
54322.1,AR,M,F55-34,93,NA,52024.1,51899.1
54345.1,BR,F,F55-35,94,NA,52020.1,51939.1
54338.1,BR,M,F55-36,94,NA,52020.1,51939.1
54349.1,AR,F,F55-35,96,NA,51692.1,51869.1
54342.1,AR,M,F55-36,96,NA,51692.1,51869.1
54355.1,WR,F,F55-35,98,NA,51674.1,51983.1
54348.1,WR,M,F55-36,98,NA,51674.1,51983.1
54333.1,AL,F,F55-33,99,NA,51780.1,52143.1
54326.1,WR,M,F55-34,99,NA,51780.1,52143.1
54317.1,WR,F,F55-31,78,NA,51963.1,52154.1
54321.1,AGR,F,F55-31,60,NA,52181.1,51926.1
54309.1,BRL,F,F55-31,52,NA,52075.1,51750.1
54325.1,WL,F,F55-31,65,NA,52151.1,51678.1
54362.1,AGR,M,F55-38,62,NA,51973.1,52006.1
