Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Family
3,,M,F34,8/20/2006,,64945,65236,,AIL1-10
10,,F,F34,8/20/2006,,64945,65236,,AIL1-10
17,,F,F34,8/20/2006,,64967,64907,,AIL1-13
18,,M,F34,8/20/2006,,64967,64907,,AIL1-13
20,,M,F34,8/20/2006,,65025,64979,,AIL1-18
22,,F,F34,8/20/2006,,65025,64979,,AIL1-18
55,,F,F34,8/22/2006,,64958,64933,,AIL1-11
57,,M,F34,8/22/2006,,64958,64933,,AIL1-11
65,,M,F34,8/22/2006,,65001,65102,,AIL1-16
70,,F,F34,8/22/2006,,65001,65102,,AIL1-16
28,,F,F34,8/22/2006,,64889,65045,,AIL1-3
31,,M,F34,8/22/2006,,64889,65045,,AIL1-3
42,,M,F34,8/22/2006,,64931,65402,,AIL1-8
45,,F,F34,8/22/2006,,64931,65402,,AIL1-8
49,,M,F34,8/22/2006,,64941,65322,,AIL1-9
52,,F,F34,8/22/2006,,64941,65322,,AIL1-9
74,,M,F34,8/23/2006,,64876,65284,,AIL1-1
78,,M,F34,8/23/2006,,64876,65284,,AIL1-1
92,,M,F34,8/23/2006,,65031,65074,,AIL1-19
95,,F,F34,8/23/2006,,65031,65074,,AIL1-19
82,,M,F34,8/23/2006,,64884,64919,,AIL1-2
91,,F,F34,8/23/2006,,64884,64919,,AIL1-2
99,,F,F34,8/24/2006,,64916,65185,,AIL1-6
102,,M,F34,8/24/2006,,64916,65185,,AIL1-6
106,,F,F34,8/25/2006,,65011,65262,,AIL1-17
111,,M,F34,8/25/2006,,65011,65262,,AIL1-17
115,,F,F34,8/26/2006,,65113,65512,,AIL1-28
116,,M,F34,8/26/2006,,65113,65512,,AIL1-28
120,,F,F34,8/27/2006,,64989,65278,,AIL1-15
122,,F,F34,8/27/2006,,64989,65278,,AIL1-15
124,,F,F34,8/27/2006,,65038,65141,,AIL1-21
126,,M,F34,8/27/2006,,65038,65141,,AIL1-21
129,,M,F34,8/27/2006,,65209,65372,,AIL1-41
