Animal #,C,Sex,Gen.,D.O.B.,Day,Sire,Dam,Nurse,Family
136,,F,F34,8/27/2006,,65209,65372,,AIL1-41
138,,M,F34,8/28/2006,,65212,65228,,AIL1-42
141,,F,F34,8/28/2006,,65212,65228,,AIL1-42
147,,M,F34,8/29/2006,,65060,65181,,AIL1-22
150,,F,F34,8/29/2006,,65060,65181,,AIL1-22
157,,M,F34,8/29/2006,,65071,65242,,AIL1-24
158,,M,F34,8/29/2006,,65071,65242,,AIL1-24
163,,F,F34,8/29/2006,,65130,65570,,AIL1-31
166,,M,F34,8/29/2006,,65130,65570,,AIL1-31
172,,M,F34,8/29/2006,,65162,65122,,AIL1-35
173,,M,F34,8/29/2006,,65162,65122,,AIL1-35
180,,M,F34,8/29/2006,,65175,64875,,AIL1-36
181,,F,F34,8/29/2006,,65175,64875,,AIL1-36
187,,F,F34,8/30/2006,,65144,65244,,AIL1-33
192,,M,F34,8/30/2006,,65144,65244,,AIL1-33
194,,M,F34,8/30/2006,,65193,65083,,AIL1-38
197,,F,F34,8/30/2006,,65193,65083,,AIL1-38
201,,M,F34,8/30/2006,,65211,65502,,AIL1-40
206,,F,F34,8/30/2006,,65211,65502,,AIL1-40
210,,F,F34,8/31/2006,,65093,65477,,AIL1-26
212,,M,F34,8/31/2006,,65093,65477,,AIL1-26
214,,M,F34,8/31/2006,,65115,65542,,AIL1-29
218,,F,F34,8/31/2006,,65115,65542,,AIL1-29
219,,F,F34,8/31/2006,,65115,65542,,AIL1-29
220,,M,F34,8/31/2006,,65115,65542,,AIL1-29
224,,M,F34,8/31/2006,,65183,65309,,AIL1-37
226,,F,F34,8/31/2006,,65183,65309,,AIL1-37
50.219,,M,F34,9/2/2006,,64978,64940,,AIL1-14
221,,F,F34,9/2/2006,,64978,64940,,AIL1-14
51.224,,F,F34,9/2/2006,,65086,65382,,AIL1-25
231,,M,F34,9/2/2006,,65086,65382,,AIL1-25
238,,M,F34,9/2/2006,,65124,64970,,AIL1-30
239,,F,F34,9/2/2006,,65124,64970,,AIL1-30
240,,M,F34,9/3/2006,,65133,65318,,AIL1-32
243,,F,F34,9/3/2006,,65133,65318,,AIL1-32
244,,F,F34,9/3/2006,,65247,64877,,AIL1-45
249,,M,F34,9/3/2006,,65247,64877,,AIL1-45
250,,F,F34,9/3/2006,,65394,65307,,AIL1-56
253,,M,F34,9/3/2006,,65394,65307,,AIL1-56
263,,F,F34,9/3/2006,,65364,65005,,AIL1-61
266,,M,F34,9/3/2006,,65364,65005,,AIL1-61
270,,F,F34,9/4/2006,,65248,65602,,AIL1-46
273,,M,F34,9/4/2006,,65248,65602,,AIL1-46
276,,M,F34,9/4/2006,,65344,64924,,AIL1-53
289,,F,F34,9/4/2006,,65344,64924,,AIL1-53
284,,F,F34,9/4/2006,,65538,65391,,AIL1-57
292,,F,F34,9/4/2006,,65541,64903,,AIL1-58
296,,M,F34,9/4/2006,,65541,64903,,AIL1-58
301,,F,F34,9/4/2006,,65652,65186,,AIL1-64
302,,M,F34,9/4/2006,,65652,65186,,AIL1-64
312,,F,F34,9/5/2006,,65223,65192,,AIL1-43
313,,M,F34,9/5/2006,,65223,65192,,AIL1-43
321,,M,F34,9/5/2006,,65280,65259,,AIL1-49
327,,F,F34,9/5/2006,,65280,65259,,AIL1-49
332,,M,F34,9/5/2006,,65384,65165,,AIL1-55
333,,F,F34,9/5/2006,,65384,65165,,AIL1-55
341,,M,F34,9/5/2006,,65588,65066,,AIL1-62
346,,F,F34,9/5/2006,,65588,65066,,AIL1-62
353,,M,F34,9/9/2006,,65283,65061,,AIL1-50
354,,F,F34,9/9/2006,,65283,65061,,AIL1-50
355,,F,F34,9/17/2006,,64906,64893,,AIL1-4
356,,F,F34,9/17/2006,,64906,64893,,AIL1-4
562,,M,F34,9/19/2006,,64926,65198,,AIL2-7
563,,M,F34,9/19/2006,,64926,65198,,AIL2-7
575,,M,F34,9/20/2006,,64962,65049,,AIL1-12
576,,F,F34,9/20/2006,,64962,65049,,AIL1-12
567,,F,F34,9/20/2006,,65183,65390,,AIL2-37
568,,F,F34,9/20/2006,,65183,65390,,AIL2-37
565,,M,F34,9/20/2006,,64916,65398,,AIL2-6
566,,F,F34,9/20/2006,,64916,65398,,AIL2-6
579,,M,F34,9/22/2006,,65588,64922,,AIL2-62
581,,F,F34,9/22/2006,,65588,64922,,AIL2-62
583,,M,F34,9/25/2006,,65095,65027,,AIL1-27
587,,F,F34,9/25/2006,,65095,65027,,AIL1-27
595,,F,F34,9/26/2006,,64913,65529,,AIL1-5
597,,M,F34,9/26/2006,,64913,65529,,AIL1-5
357,,M,F34,9/29/2006,,65577,64954,,AIL1-59
358,,F,F34,9/29/2006,,65577,64954,,AIL1-59
360,,M,F34,9/29/2006,,65113,65236,,AIL2-28
366,,F,F34,9/29/2006,,65113,65236,,AIL2-28
371,,M,F34,9/30/2006,,64978,64907,,AIL2-14
376,,F,F34,9/30/2006,,64978,64907,,AIL2-14
384,,M,F34,10/3/2006,,65093,65045,,AIL2-26
386,,F,F34,10/3/2006,,65093,65045,,AIL2-26
394,,M,F34,10/3/2006,,65095,64933,,AIL2-27
396,,F,F34,10/3/2006,,65095,64933,,AIL2-27
414,,F,F34,10/4/2006,,65157,65284,,AIL2-34
417,,F,F34,10/4/2006,,65157,65284,,AIL2-34
398,,F,F34,10/4/2006,,65577,64875,,AIL2-59
399,,M,F34,10/4/2006,,65577,64875,,AIL2-59
422,,F,F34,10/6/2006,,64945,65512,,AIL2-10
426,,M,F34,10/6/2006,,64945,65512,,AIL2-10
428,,M,F34,10/8/2006,,65377,65297,,AIL1-54
434,,F,F34,10/8/2006,,65377,65297,,AIL1-54
439,,M,F34,10/8/2006,,65115,65322,,AIL2-29
440,,F,F34,10/8/2006,,65115,65322,,AIL2-29
460,,M,F34,10/30/2006,,64962,65477,,AIL2-12
463,,F,F34,10/30/2006,,64962,65477,,AIL2-12
467,,M,F34,10/30/2006,,65086,65061,,AIL2-25
468,,F,F34,10/30/2006,,65086,65061,,AIL2-25
443,,F,F34,10/30/2006,,64906,64940,,AIL2-4
445,,M,F34,10/30/2006,,64906,64940,,AIL2-4
447,,M,F34,10/30/2006,,64913,65570,,AIL2-5
448,,F,F34,10/30/2006,,64913,65570,,AIL2-5
492,,M,F34,10/31/2006,,64889,65318,,AIL2-3
496,,M,F34,10/31/2006,,64889,65318,,AIL2-3
470,,M,F34,10/31/2006,,64931,65186,,AIL2-8
475,,F,F34,10/31/2006,,64931,65186,,AIL2-8
490,,M,F34,11/1/2006,,65060,65228,,AIL2-22
491,,M,F34,11/1/2006,,65060,65228,,AIL2-22
482,,F,F34,11/1/2006,,65068,65309,,AIL2-23
484,,M,F34,11/1/2006,,65068,65309,,AIL2-23
497,,F,F34,11/9/2006,,64967,64893,,AIL2-13
498,,F,F34,11/9/2006,,64967,64893,,AIL2-13
508,,F,F34,11/10/2006,,65071,65257,,AIL2-24
510,,M,F34,11/10/2006,,65071,65257,,AIL2-24
500,,F,F34,11/10/2006,,65133,65049,,AIL2-32
503,,M,F34,11/10/2006,,65133,65049,,AIL2-32
514,,M,F34,11/11/2006,,65283,65171,,AIL2-50
518,,F,F34,11/11/2006,,65283,65171,,AIL2-50
521,,F,F34,11/12/2006,,65144,65291,,AIL2-33
524,,F,F34,11/12/2006,,65144,65291,,AIL2-33
539,,F,F34,11/15/2006,,65316,65307,,AIL2-52
526,,M,F34,11/15/2006,,64958,65027,,AIL2-11
528,,F,F34,11/15/2006,,64958,65027,,AIL2-11
536,,F,F34,11/15/2006,,65316,65307,,AIL2-52
541,,F,F34,11/16/2006,,65209,65181,,AIL2-41
543,,M,F34,11/16/2006,,65209,65181,,AIL2-41
556,,M,F34,11/16/2006,,65579,65005,,AIL2-60
598,,F,F34,11/16/2006,,65579,65005,,AIL2-60
607,,M,F34,11/17/2006,,65247,65502,,AIL2-45
608,,F,F34,11/17/2006,,65247,65502,,AIL2-45
599,,M,F34,11/17/2006,,65384,64903,,AIL2-55
601,,M,F34,11/17/2006,,65384,64903,,AIL2-55
615,,M,F34,11/18/2006,,65248,65372,,AIL2-46
617,,F,F34,11/18/2006,,65248,65372,,AIL2-46
620,,F,F34,11/18/2006,,65255,65391,,AIL2-47
625,,F,F34,11/18/2006,,65255,65391,,AIL2-47
613,,M,F34,11/18/2006,,65394,65165,,AIL2-56
614,,F,F34,11/18/2006,,65394,65165,,AIL2-56
627,,F,F34,11/19/2006,,65377,64979,,AIL2-54
629,,F,F34,11/19/2006,,65377,64979,,AIL2-54
632,,F,F34,11/19/2006,,65364,65602,,AIL2-61
633,,F,F34,11/19/2006,,65364,65602,,AIL2-61
756,,M,F34,12/14/2006,,65223,65066,,AIL2-43
761,,M,F34,12/14/2006,,65223,65066,,AIL2-43
762,,M,F34,12/14/2006,,65652,65141,,AIL2-64B
765,,M,F34,12/14/2006,,65652,65141,,AIL2-64B
769,,M,F34,12/15/2006,,65162,65278,,AIL2-35
770,,M,F34,12/15/2006,,65162,65278,,AIL2-35
772,,F,F34,12/15/2006,,65086,65236,,AIL2-44B
878,,F,F34,1/11/2007,,65193,65242,,AIL2-38
880,,M,F34,1/11/2007,,65193,65242,,AIL2-38
875,,M,F34,1/11/2007,,64941,65542,,AIL2-9
876,,M,F34,1/11/2007,,64941,65542,,AIL2-9
883,,F,F34,1/12/2007,,65344,64924,,AIL1-53
885,,F,F34,1/12/2007,,64906,64940,,AIL2-4
893,,M,F34,1/12/2007,,65255,65391,,AIL2-47
900,,M,F34,1/12/2007,,65600,65262,,AIL2-63
901,,F,F34,1/12/2007,,65600,65262,,AIL2-63
905,,F,F34,1/14/2007,,65301,65192,,AIL2-51
910,,M,F34,1/14/2007,,65301,65192,,AIL2-51
912,,F,F34,1/15/2007,,64884,65102,,AIL2-2
914,,M,F34,1/15/2007,,64884,65102,,AIL2-2
919,,M,F34,1/16/2007,,64967,64893,,AIL2-13
967,,M,F34,1/24/2007,,65011,65297,,AIL2-17
969,,F,F34,1/24/2007,,65011,65297,,AIL2-17
