id	ppi.weight	ppi.age
51979	18.5	82
51980	25.6	81
51981	20.6	81
51982	26.4	82
51984	31.0	80
51987	27.3	80
51991	21.5	80
51992	26.4	80
51993	23.8	80
51994	26.2	80
51997	26.8	81
51998	24.8	79
52000	23.5	78
52003	25.6	79
52004	39.4	78
52009	18.0	78
52011	25.3	78
52012	29.2	78
52014	31.8	78
52015	15.8	78
52018	34.0	77
52019	23.6	78
52022	32.1	77
52026	33.3	77
52027	26.0	77
52030	29.7	77
52031	27.9	77
52035	18.1	77
52036	40.1	112
52040	42.6	112
52041	22.3	112
52044	45.9	112
52045	24.7	112
52048	26.6	73
52049	39.4	112
52053	24.2	119
52055	20.3	89
52058	28.4	73
52059	22.8	73
52062	34.2	73
52063	23.0	73
52066	34.9	73
52067	25.1	73
52071	21.1	73
52072	20.2	73
52073	17.2	73
52076	34.8	68
52077	25.7	68
52079	21.8	68
52081	16.6	68
52083	21.4	68
52088	29.5	68
52092	29.9	68
52093	22.9	68
52096	39.1	68
52099	18.1	68
52100	25.5	68
52101	20.2	72
52102	31.6	72
52103	25.6	72
52107	23.6	72
52108	33.4	72
52109	24.3	72
52112	38.1	72
52115	23.3	74
52116	33.3	74
52117	21.4	72
52120	28.3	72
52123	20.5	74
52124	28.5	74
52127	22.4	73
52131	25.8	73
52132	23.3	73
52136	31.6	73
52138	41.9	72
52139	26.2	71
52144	27.2	71
52145	19.5	71
52149	22.0	70
52150	23.9	71
52152	34.1	70
52153	23.5	71
52156	32.6	71
52159	24.1	71
52161	22.7	71
52162	23.4	71
52164	32.0	71
52165	19.6	71
52168	30.8	71
52169	20.9	70
52173	24.3	66
52174	29.5	70
52175	25.2	69
52177	21.1	67
52178	32.2	69
52180	24.9	67
52182	35.6	68
52185	20.0	66
52186	30.5	66
52191	19.9	81
52192	29.1	66
52193	21.5	70
52197	22.5	70
52198	29.2	69
54100	31.9	68
54104	22.2	68
54105	22.4	68
54106	25.9	68
54109	22.8	68
54113	20.9	68
54114	32.7	68
54116	25.4	68
54117	20.0	68
54121	20.1	68
54124	29.1	68
54125	19.9	68
54126	27.3	68
54130	31.8	68
54131	16.7	68
54133	16.5	67
54134	33.5	68
54138	23.1	67
54139	23.6	67
54141	20.9	68
54142	23.1	67
54146	28.1	67
54147	21.1	67
54149	22.8	67
54150	29.4	67
54153	22.0	67
54154	38.3	67
54157	18.8	67
54158	32.7	67
54161	21.0	81
54164	25.5	67
54165	20.2	70
54166	26.7	67
54169	23.1	70
54170	34.2	63
54173	19.3	70
54176	23.9	66
54178	30.5	63
54179	23.4	70
54182	30.6	66
54183	19.2	68
54186	27.6	70
54187	29.0	70
54190	25.2	69
54193	27.0	103
54194	37.0	98
54196	47.1	103
54198	35.1	92
54199	27.5	98
54201	25.8	92
54207	27.7	115
54209	21.9	77
54213	27.5	77
54216	35.0	77
54217	22.3	77
54220	36.6	77
54221	23.9	77
54226	31.8	77
54227	25.7	77
54229	24.1	77
54230	35.8	76
54233	24.4	77
54234	27.9	76
54237	28.7	76
54238	29.8	76
54240	35.6	77
54243	19.8	76
54244	31.3	75
54245	29.1	76
54248	27.9	75
54249	25.6	77
54252	31.0	75
54253	26.7	75
54256	32.0	75
54257	22.2	75
54260	30.7	75
54261	23.2	75
54266	26.3	74
54267	19.5	75
54269	22.9	75
54270	37.8	73
54274	33.1	73
54276	31.6	73
54277	23.7	74
54279	27.6	73
54282	33.8	74
54283	23.4	73
54284	30.9	74
54289	18.9	73
54290	40.3	74
54291	32.3	74
54294	39.1	74
54295	21.3	74
54298	30.3	71
54299	28.5	74
54300	32.7	71
54303	26.4	74
54304	36.5	75
54307	24.4	71
54310	25.3	71
54311	25.5	71
54315	28.1	75
54316	34.9	71
54319	23.3	71
54320	NA	81
54323	23.4	71
54320	36.5	81
54324	31.3	80
54327	21.1	81
54331	24.8	80
54336	33.0	78
54340	31.1	78
54346	30.4	74
54350	37.2	75
54343	23.3	78
54347	22.8	78
54353	22.8	74
54357	22.0	75
54352	28.3	67
54360	29.9	63
54359	22.8	67
54363	21.6	63
54368	22.0	60
54372	26.0	60
54367	20.1	60
54371	21.0	60
54330	26.9	76
54332	32.9	78
54335	21.9	76
54339	27.5	78
54375	23.1	78
54379	20.8	78
54383	24.7	77
54385	21.9	77
54389	21.9	77
54376	24.0	78
54380	28.1	78
54384	29.8	77
54388	32.0	77
54390	28.3	77
54396	29.4	77
54398	25.1	77
54809	21.7	76
54813	26.0	76
54817	19.3	76
54821	21.2	75
54827	27.0	76
54808	28.3	76
54812	28.5	76
54816	27.0	76
54818	35.5	76
54822	35.0	75
54829	NA	67
54835	NA	67
54841	NA	76
54847	NA	69
54851	NA	67
54824	24.0	67
54830	26.8	67
54836	29.5	76
54842	26.2	69
54848	24.7	67
54853	19.6	67
54859	25.1	67
54854	26.6	67
54862	24.3	67
54393	24.6	102
54397	21.7	102
54805	29.7	NA
54863	27.0	77
54867	17.4	77
54871	20.7	80
54875	23.4	77
54864	36.1	77
54868	26.2	77
54872	24.9	80
54876	37.6	77
54879	25.5	77
54883	21.9	77
54887	25.4	77
54891	23.9	77
54880	27.0	77
54884	29.3	77
54888	30.7	77
54892	26.4	77
54896	33.2	77
54900	32.0	76
56204	33.0	76
56208	34.2	76
56207	24.9	75
56211	27.9	75
56215	19.9	75
56219	20.8	75
56212	31.7	75
56216	42.2	75
56220	25.2	75
56224	22.9	75
56223	23.8	75
56227	20.5	74
56231	21.7	75
56235	21.9	75
56228	25.7	75
56232	27.0	74
56236	31.2	75
56240	29.2	75
56237	27.6	75
56241	22.3	75
56245	21.6	77
56249	27.6	74
56244	41.1	75
56248	36.1	75
56252	30.8	77
56256	31.2	74
56253	22.7	75
56257	22.4	75
56261	21.6	75
56265	22.9	74
56260	27.9	75
56264	31.7	75
56268	34.8	75
56272	27.2	74
56273	26.2	74
56275	18.5	75
56279	22.4	75
56276	NA	74
56280	NA	75
56284	NA	75
54895	24.6	76
54899	23.2	76
56203	24.6	76
