id	tail
51399	7.6
51455	8.5
51463	7.7
51420	7.6
51602	7.5
51656	8.3
51461	8.1
51603	6.7
51661	7.5
51604	8.3
51608	7.9
51614	8.4
51618	8.3
51607	7.5
51609	7.9
51613	7.7
51616	8.1
51624	7.9
51628	8.3
51634	8.1
51621	7.8
51627	8.0
51631	7.5
51642	8.2
51644	8.2
51648	8.3
51654	8.0
51641	8.1
51645	7.9
51651	8.1
51657	8.0
51665	8.6
51669	7.8
51673	8.5
51660	8.1
51662	9.5
51666	8.9
51681	8.4
51683	8.0
51689	8.0
51693	7.8
51672	8.5
51676	8.6
51682	8.3
51686	8.5
51695	7.6
51699	8.3
51705	8.5
51709	7.9
51690	8.3
51694	9.0
51698	8.0
51706	8.3
51713	8.0
51717	7.4
51723	8.0
51727	8.1
51700	8.8
51710	8.6
51714	7.7
51718	7.8
51731	7.9
51737	8.5
51739	7.3
51745	7.6
51722	9.0
51728	7.9
51734	8.5
51738	8.3
51747	8.1
51753	8.9
51759	7.7
51765	8.0
51742	8.4
51746	9.0
51748	8.2
51752	8.7
51767	7.9
51771	8.0
51775	8.2
51779	8.1
51756	8.3
51760	8.0
51764	7.9
51770	8.0
51785	8.0
51791	8.3
51795	8.3
51774	8.6
51778	8.9
51782	8.8
51801	7.9
51811	7.7
51794	7.7
51804	7.9
51813	8.2
51815	8.2
51819	7.7
51823	8.2
51810	8.3
51812	8.4
51816	8.5
51820	8.8
51829	8.0
51831	8.0
51833	NA
51839	8.9
51828	8.4
51832	8.7
51836	8.9
51840	8.9
51845	7.7
51847	8.5
51853	7.6
51857	7.7
51842	8.5
51850	8.6
51854	8.1
51858	8.4
51863	8.1
51867	8.0
51871	7.9
51875	8.0
51866	NA
51870	8.2
51876	9.0
51878	8.5
51877	7.9
51881	8.7
51883	7.4
51882	8.4
51886	9.0
51890	8.2
51891	8.2
51897	8.1
51901	7.7
51892	8.5
51896	8.7
51902	8.5
51905	8.0
51911	7.7
51913	7.9
51906	8.1
51910	8.5
51914	8.5
51923	7.6
51927	8.6
51933	8.0
51935	8.0
51916	7.4
51920	8.6
51924	8.4
51930	8.7
51941	8.1
51947	7.6
51949	7.5
51953	7.9
51936	8.3
51940	8.2
51944	8.2
51950	7.7
51959	7.5
51961	8.5
51965	7.5
51971	8.5
51956	8.8
51962	8.4
51966	7.8
51972	8.9
51979	7.7
51981	7.5
51987	7.8
51976	8.0
51980	8.9
51982	7.9
51984	8.0
51991	7.5
51993	7.5
51997	8.0
52003	NA
51992	8.1
51994	8.4
51998	8.0
52000	8.0
52009	7.8
52011	8.4
52015	8.0
52019	8.2
52004	8.5
52012	8.4
52014	9.0
52018	8.8
52027	7.9
52031	8.2
52035	7.7
52022	8.9
52026	9.0
52030	8.7
52041	7.7
52045	8.1
52049	8.9
52036	9.2
52040	9.0
52044	8.6
52055	8.1
52053	8.2
52059	7.1
52063	7.5
52067	7.8
52073	7.5
52048	8.0
52058	8.4
52062	9.3
52066	8.1
52071	7.5
52101	8.5
52103	7.8
52139	8.3
52072	8.7
52102	8.0
52138	9.5
52144	8.2
52145	7.6
52149	7.8
52175	7.9
52177	7.6
52150	8.0
52152	9.2
52178	8.0
52180	8.0
52107	7.7
52109	8.3
52115	7.6
52117	7.8
52108	8.0
52112	9.2
52116	8.4
52120	8.4
52123	7.8
52127	7.9
52131	7.8
52153	7.7
52124	8.4
52132	8.4
52136	8.0
52156	8.0
52159	7.0
52161	8.3
52165	8.2
52169	8.2
52162	8.1
52164	8.0
52168	8.8
52174	8.7
52173	8.5
52185	7.9
52192	8.0
52186	8.6
52191	8.0
52193	7.7
52197	8.6
52198	8.5
52100	8.5
52076	8.6
52182	8.8
52077	8.6
52079	7.9
52081	7.2
52083	8.3
52088	8.4
52092	8.1
52096	8.8
54100	9.0
52093	8.2
52099	7.6
54105	7.7
54109	7.6
54104	8.1
54106	7.7
54114	8.2
54116	8.5
54113	8.2
54117	7.8
54121	7.6
54125	7.5
54124	8.1
54126	8.2
54130	8.4
54134	9.0
54131	7.6
54133	7.5
54139	8.2
54141	7.4
54138	8.6
54142	8.0
54146	8.5
54150	8.1
54147	7.5
54149	8.2
54153	8.0
54157	7.6
54154	8.0
54158	8.6
54164	8.1
54166	8.5
54161	7.5
54165	7.6
54169	7.1
54170	8.0
54176	7.8
54178	7.5
54182	8.3
54173	7.4
54179	8.1
54186	NA
54190	8.4
54183	7.4
54187	8.3
54194	8.7
54196	8.9
54198	8.5
54193	8.0
54199	9.2
54201	7.6
54207	7.7
54209	8.0
54213	8.4
54217	8.4
54221	8.2
54216	8.6
54220	9.1
54226	8.3
54230	8.5
54227	8.4
54229	8.9
54233	7.9
54237	7.6
54234	7.9
54238	8.0
54240	7.5
54244	8.6
54243	7.2
54245	8.2
54249	8.0
54253	8.5
54248	8.6
54252	8.6
54256	8.7
54260	9.2
54257	8.2
54261	7.9
54267	8.1
54269	8.6
54266	8.5
54270	8.8
54274	9.0
54276	8.6
54277	8.0
54279	8.1
54283	8.0
54289	7.6
54282	8.5
54284	8.2
54290	8.7
54294	8.8
54291	8.3
54295	8.0
54299	8.4
54303	8.0
54298	8.2
54300	8.3
54304	8.6
54307	8.0
54311	8.1
54315	8.2
54310	8.0
54316	9.0
54319	7.6
54323	8.8
54320	8.9
54324	8.3
54327	8.1
54331	7.9
54336	8.3
54340	8.5
54346	7.9
54350	8.5
54343	7.8
54347	8.1
54353	7.8
54357	8.0
54352	8.7
54360	8.2
54359	8.2
54363	7.5
54368	7.7
54372	8.1
54367	7.9
54371	7.7
54330	7.8
54332	8.1
54335	8.4
54339	8.2
54375	8.4
54379	7.8
54383	8.1
54385	7.9
54389	7.5
54376	8.1
54380	8.1
54384	8.3
54388	8.1
54390	8.0
54396	9.0
54398	8.4
54809	7.5
54813	7.6
54817	7.4
54821	8.4
54827	7.3
54808	8.2
54812	8.1
54816	7.5
54818	8.7
54822	8.4
54853	7.9
54859	8.0
54829	7.6
54835	7.2
54841	7.8
54847	7.5
54851	7.7
54824	7.9
54830	8.2
54836	8.2
54842	NA
54848	7.9
54854	8.5
54862	8.2
54393	8.6
54397	8.4
54805	8.1
54863	8.4
54867	7.5
54871	4.9
54875	8.0
54864	9.0
54868	8.2
54872	7.7
54876	8.4
54879	8.1
54883	7.8
54887	8.2
54891	7.9
54880	8.3
54884	8.3
54888	8.1
54892	7.7
54896	8.5
54900	8.6
56204	8.6
56208	9.2
56207	8.0
56211	7.7
56215	7.6
56219	7.8
56212	8.0
56216	9.3
56220	7.9
56224	7.6
56223	7.6
56227	6.2
56231	7.9
56235	8.3
56228	8.0
56232	7.9
56236	7.9
56240	8.5
56237	8.1
56241	7.9
56245	8.4
56249	8.1
56244	9.1
56248	8.8
56252	8.7
56256	8.5
56253	7.8
56257	8.1
56261	8.5
56265	8.1
56260	8.2
56264	8.6
56268	9.1
56272	8.4
56273	8.1
56275	7.4
56279	8.4
56276	8.1
56280	8.0
56284	8.8
54895	8.4
54899	8.0
56203	8.6
