Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam,Home.Cage
51317.1,BL,F,F53,24-Jun,BrF52-46,50318.1,50179.1,50318,50179,F53-27
51323.1,BL,F,F53,3-Jun,BrF53-55,50170.1,50271.1,50170,50271,F53-29
51325.1,WL,F,F53,14-Jul,BrF52-70,50350.1,50215.1,50350,50215,F53-29
51333.1,BR,F,F53,16-Jul,BrF52-71,50394.1,50213.1,50394,50213,F53-29
51337.1,AGL,F,F53,17-Jul,BrF52-67,50356.1,50169.1,50356,50169,F53-29
51341.1,BR/L,F,F53,17-Jul,BrF52-68,50392.1,50165.1,50392,50165,F53-29
51347.1,AGR,F,F53,17-Jul,BrF52-75,50446.1,50251.1,50446,50251,F53-31
51353.1,BR,F,F53,17-Jul,BrF52-76,50306.1,50267.1,50306,50267,F53-31
51357.1,AGL,F,F53,17-Jul,BrF52-79,50424.1,50287.1,50424,50287,F53-33
51363.1,WR,F,F53,17-Jul,BrF52-81,50334.1,50305.1,50334,50305,F53-33
51365.1,BL,F,F53,17-Jul,BrF52-82,50254.1,50307.1,50254,50307,F53-33
51369.1,BR,F,F53,16-Jul,BrF52-83,50260.1,50317.1,50260,50317,F53-33
51373.1,BR,F,F53,17-Jul,BrF52-84,50290.1,50309.1,50290,50309,F53-35
51379.1,BL,F,F53,17-Jul,BrF52-89,50154.1,50367.1,50154,50367,F53-35
51381.1,BL,F,F53,17-Jul,BrF52-89,50154.1,50367.1,50154,50367,F53-35
51385.1,BL,F,F53,NA,BrF52-85,50292.1,50319.1,50292,50319,F53-37
51389.1,WL,F,F53,18-Jul,BrF52-95,50400.1,50295.1,50400,50295,F53-37
51391.1,WL,F,F53,18-Jul,BrF52-95,50400.1,50295.1,50400,50295,F53-37
51393.1,BR,F,F53,18-Jul,BrF52-88,50328.1,50347.1,50328,50347,F53-37
51397.1,AGR,F,F53,19-Jul,BrF52-91,50212.1,50379.1,50212,50379,F53-37
51419.1,AGL,F,F53,17-Jul,BrF52-79,50424.1,50287.1,50424,50287,F53-33
51421.1,WL,F,F53,17-Jul,BrF52-80,50208.1,50297.1,50208,50297,F53-31
51423.1,AGL,F,F53,16-Jul,BrF52-78,50372.1,50283.1,50372,50283,F53-31
51425.1,WL,F,F53,17-Jul,BrF52-80,50208.1,50297.1,50208,50297,F53-31
51451.1,WL,F,F53,5-Jun,BrF53-36,50362.1,49463.1,50362,49463,F53-35
51453.1,WL,F,F53,5-Jun,BrF53-36,50362.1,49463.1,50362,49463,F53-35
51457.1,WR,F,F53,19-Jul,BrF52-87,50176.1,50353.1,50176,50353,F53-39
51459.1,WR,F,F53,19-Jul,BrF52-87,50176.1,50353.1,50176,50353,F53-39
51465.1,BR,F,F53,NA,BrF52-93,50178.1,50425.1,50178,50425,F53-39
51475.1,AGL,F,F53,20-Jul,BrF52-94,50320.1,50465.1,50320,50465,F53-39
51659.1,CC,F,F53,12-Aug,BrF52-98,50384.1,50395.1,50384,50395,TBA
51633.1,CC,F,F53,7-Aug,BrF52-100,50308.1,50403.1,50308,50403,TBA
51653.1,CC,F,F53,9-Aug,BrF52-101,50378.1,50399.1,50378,50399,TBA
51625.1,CC,F,F53,6-Aug,BrF52-103,50436.1,50423.1,50436,50423,TBA
51617.1,CC,F,F53,6-Aug,BrF52-104,50426.1,50381.1,50426,50381,TBA
51619.1,CC,F,F53,6-Aug,BrF52-105,50442.1,50357.1,50442,50357,TBA
51643.1,CC,F,F53,9-Aug,BrF52-106,50448.1,50361.1,50448,50361,TBA
51629.1,CC,F,F53,7-Aug,BrF52-107,50398.1,50363.1,50398,50363,TBA
51615.1,CC,F,F53,6-Aug,BrF52-108,50360.1,50331.1,50360,50331,TBA
51635.1,CC,F,F53,8-Aug,BrF52-111,50472.1,50459.1,50472,50459,TBA
51611.1,CC,F,F53,6-Aug,BrF52-112,50462.1,50461.1,50462,50461,TBA
51799.1,CC,F,F53,DOB,BrF52-74,50294.1,50247.1,50294,50247,TBA
51805.1,CC,F,F53,30-Jul,BrF52-90,50218.1,50373.1,50218,50373,TBA
49378.1,BR,M,F53,30-Apr,BrF52-35,50136.1,50177.1,50136,50177,F53-18
50080.1,AGR,M,F53,27-Apr,BrF52-29,50110.1,50233.1,50110,50233,F53-16
50082.1,WR,M,F53,27-Apr,BrF52-3,50196.1,49429.1,50196,49429,F53-16
50084.1,BR,M,F53,27-Apr,BrF52-20,50222.1,50139.1,50222,50139,F53-16
50088.1,WL,M,F53,26-Apr,BrF52-26,50130.1,50199.1,50130,50199,F53-16
50090.1,BR,M,F53,27-Apr,BrF52-20,50222.1,50139.1,50222,50139,F53-16
50096.1,WR,M,F53,3-May,BrF52-34,49478.1,50173.1,49478,50173,F53-18
50098.1,WR,M,F53,3-May,BrF52-34,49478.1,50173.1,49478,50173,F53-18
50476.1,AGR,M,F53,25-Apr,BrF52-1,49484.1,49441.1,49484,49441,F53-02
50480.1,WR,M,F53,25-Apr,BrF52-4,50244.1,49443.1,50244,49443,F53-02
50484.1,BR,M,F53,24-Apr,BrF52-6,49480.1,49473.1,49480,49473,F53-02
50488.1,WL,M,F53,24-Apr,BrF52-7,50224.1,49477.1,50224,49477,F53-02
50492.1,BL,M,F53,25-Apr,BrF52-10,50160.1,49481.1,50160,49481,F53-02
50498.1,WR,M,F53,24-Apr,BrF52-14,50240.1,49495.1,50240,49495,F53-04
50702.1,BR,M,F53,25-Apr,BrF52-16,50192.1,50127.1,50192,50127,F53-04
50706.1,WL,M,F53,24-Apr,BrF52-22,49434.1,50157.1,49434,50157,F53-04
50710.1,AGR,M,F53,23-Apr,BrF52-27,50116.1,50203.1,50116,50203,F53-04
50714.1,AGL,M,F53,25-Apr,BrF52-24,50184.1,50145.1,50184,50145,F53-04
50720.1,BR,M,F53,25-Apr,BrF52-28,49500.1,50219.1,49500,50219,F53-06
50718.1,BL,M,F53,25-Apr,BrF52-28,49500.1,50219.1,49500,50219,F53-06
50724.1,AGR,M,F53,24-Apr,BrF52-30,49428.1,50261.1,49428,50261,F53-06
