idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
30011.1	10	191	22523.1	22675.1	1	F40	0.05419523831	0.546848519601872	22523 22675 30011 30307 31043 31044
30307.1	10	238	22523.1	22675.1	2	F40	0.06911487604	0.546848519601872	22523 22675 30011 30307 31054
35356.1	10	564	30012.1	29270.1	2	F41	0.05689072216	0.469616172879351	29270 33767 33768 35356 35357 35358
35358.1	10	566	30012.1	29270.1	1	F41	0.0547097123	0.469616172879351	29270 33852 35356 35357 35358
22524.1	11	11	24399.1	23761.1	2	F39	0.7031334163	0.694726308232193	22524 22525 22526 22527 30478 30479
22848.1	11	70	24542.1	24248.1	2	F39	0.06499582815	0.393802230441734	22848 22850 30469 30470 30471
30478.1	11	262	28920.1	22524.1	2	F40	0.09142498565	0.54475917281106	22524 30478 30479
30611.1	11	291	22527.1	28919.1	1	F40	0.05615114931	0.467802232876711	22527 28919 30609 30610 30611 31689 31690
31401.1	11	345	30491.1	30310.1	2	F41	0.07080143725	0.392874019018199	30310 30491 31401 31402 31403
33791.1	11	483	35306.1	35529.1	2	F42	0.06638645475	0.39656516110212	33791 33793 35529 36397 36398 36399
33796.1	11	487	35534.1	31474.1	1	F42	0.05820217705	0.392529368465861	31474 33794 33795 33796 35534 36496 36497
33797.1	11	488	35976.1	31480.1	2	F42	0.05604954756	0.396493541800787	31480 33797 33798 36384 36385
33857.1	11	495	31487.1	31104.1	2	F42	0.07221748018	0.396229402710316	31104 31487 33856 33857
33861.1	11	499	31683.1	35310.1	1	F42	0.05855954647	0.39373661791595	31683 33860 33861 33862 36430 36431 36432
33862.1	11	500	31683.1	35310.1	1	F42	0.0698401293	0.39373661791595	31683 33860 33861 33862 36423
33876.1	11	512	31482.1	35252.1	2	F42	0.06868059713	0.392712805770966	31482 33876 33877 33878 36442 36443
50248.1	11	1123	48434.1	49029.1	1	F52	0.05680062186	0.397835928994488	48436 48439 49027 49032 50248 50253 50774 50775 51342 51345
50701.1	11	1206	50240.1	49495.1	2	F53	0.05043820759	0.397866264840399	49490 49497 50241 50242 50496 50701 51753 52044 52049
50756.1	11	1231	49444.1	50135.1	1	F53	0.06077418562	0.397769843471923	49439 49440 50131 50134 50755 50756 51920 51927
22521.11	12	8	24541.1	23758.1	2	F39	0.07390358843	0.390785110149686	22520 22521 22522 22523
22525.11	12	12	24399.1	23761.1	2	F39	0.5909206253	0.694726308232193	22524 22525 22526 22527
22528.11	12	15	23779.1	23776.1	2	F39	0.05232269014	0.390660967499077	22528 22529 22530 22531
