id	sire	dam	sex	generation
518160	512460	513330	1	54
518190	512460	513330	2	54
518200	512600	513690	1	54
518230	512600	513690	2	54
518280	500800	513890	1	54
518290	500800	513890	2	54
518310	512900	513790	2	54
518320	512900	513790	1	54
518330	513220	507170	2	54
518360	513220	507170	1	54
518390	513100	513250	2	54
518400	513100	513250	1	54
518420	512380	513170	1	54
518450	512380	513170	2	54
518470	508000	513730	2	54
518500	508000	513730	1	54
518530	507340	493810	2	54
518540	507340	493810	1	54
518570	512820	512350	2	54
518580	512820	512350	1	54
518630	512780	507270	2	54
518660	512780	507270	1	54
518670	512860	512130	2	54
518700	512860	512130	1	54
518710	512920	512310	2	54
518750	513260	500870	2	54
518760	512920	512310	1	54
518770	513400	504950	2	54
518780	513260	500870	1	54
518810	513060	507850	2	54
518820	513400	504950	1	54
518830	516400	504890	2	54
518860	512980	512030	1	54
518900	516400	504890	1	54
518910	507800	503210	2	54
518920	507800	503210	1	54
518960	512960	500790	1	54
518970	512960	500790	2	54
519010	512180	513150	2	54
519020	512180	513150	1	54
519050	513180	507610	2	54
519060	513180	507610	1	54
519100	512420	513630	1	54
519110	512420	513630	2	54
519130	513200	514530	2	54
519140	513200	514530	1	54
519160	512660	513810	1	54
519200	507540	518050	1	54
519230	512660	513810	2	54
519240	507900	514750	1	54
519270	507540	518050	2	54
519300	512520	516350	1	54
519330	507900	514750	2	54
519350	512520	516350	2	54
519360	507860	514250	1	54
519400	504920	516110	1	54
519410	507860	514250	2	54
519440	512080	513850	1	54
519470	504920	516110	2	54
519490	512080	513850	2	54
519500	512740	504830	1	54
519530	512740	504830	2	54
519560	513360	514230	1	54
519590	513360	514230	2	54
519610	513300	512650	2	54
519620	513300	512650	1	54
519650	513620	507390	2	54
519660	513620	507390	1	54
519710	513520	513570	2	54
519720	513520	513570	1	54
519760	513540	514190	1	54
519790	513540	514190	2	54
519800	516060	513910	1	54
519810	516060	513910	2	54
519820	516500	504930	1	54
519840	516520	507890	1	54
519870	516520	507890	2	54
519910	504840	516430	2	54
519920	504840	516430	1	54
519930	513480	514210	2	54
519940	513480	514210	1	54
519970	513740	507050	2	54
519980	513000	507130	1	54
520000	513580	516390	1	54
520030	513000	507130	2	54
520040	516460	512370	1	54
520090	513580	516390	2	54
520110	516460	512370	2	54
520120	514180	513530	1	54
520140	507380	514650	1	54
520150	514180	513530	2	54
520180	513060	507850	1	54
520190	507380	514650	2	54
520220	507240	516530	1	54
520260	500900	516470	1	54
520270	507240	516530	2	54
520300	516100	513470	1	54
520310	500900	516470	2	54
520350	516100	513470	2	54
520360	507820	516250	1	54
520400	514520	516590	1	54
520410	507820	516250	2	54
520440	514560	504990	1	54
520450	514520	516590	2	54
520480	513940	507690	1	54
520490	514560	504990	2	54
520530	507200	513930	2	54
520550	513140	516190	2	54
520580	513660	513410	1	54
520590	513940	507690	2	54
520620	516360	514570	1	54
520630	513660	513410	2	54
520660	513820	516330	1	54
520670	516360	514570	2	54
520710	513820	516330	2	54
520720	516220	512930	1	54
520730	516220	512930	2	54
520760	519420	518170	1	55
520770	519120	517690	2	55
520790	519340	517110	2	55
520810	519520	518850	2	55
520830	518180	520210	2	55
520880	519340	517110	1	55
520920	519520	518850	1	55
520930	517840	520330	2	55
520960	518180	520210	1	55
520990	516640	519170	2	55
521000	517580	519430	1	55
521010	516200	516290	2	54
521020	516200	516290	1	54
