"fam","id","sire","dam","sex"
"213",1,453,0,0,"2"
"214",1,454,0,0,"2"
"215",1,455,0,0,"1"
"216",1,458,0,0,"2"
"217",1,459,0,0,"1"
"218",1,460,0,0,"2"
"219",1,461,0,0,"1"
"220",1,462,0,0,"2"
"221",1,463,0,0,"2"
"222",1,466,0,0,"2"
"223",1,467,0,0,"1"
"224",1,468,0,0,"2"
"225",1,470,0,0,"2"
"226",1,472,0,0,"1"
"227",1,473,0,0,"1"
"228",1,474,0,0,"2"
"229",1,475,0,0,"1"
"230",1,476,0,0,"1"
"231",1,478,0,0,"1"
"232",1,545,100,116,"1"
"233",1,569,186,167,"2"
"234",1,572,87,132,"2"
"235",1,575,186,167,"1"
"236",1,578,87,132,"1"
"237",1,662,84,198,"1"
"238",1,679,127,141,"2"
"239",1,680,127,141,"1"
"240",1,684,154,113,"2"
"241",1,691,154,113,"1"
"242",1,692,125,128,"1"
"243",1,694,125,128,"2"
"244",1,696,165,202,"1"
"245",1,697,165,202,"1"
"246",1,699,73,101,"2"
"247",1,705,73,101,"2"
"248",1,730,196,124,"2"
"249",1,731,196,124,"1"
"250",1,733,204,121,"2"
"251",1,738,204,121,"1"
"252",1,759,195,178,"2"
"253",1,789,68,201,"2"
"254",1,792,68,201,"1"
"255",1,853,123,191,"2"
"256",1,854,123,191,"1"
"257",1,888,210,266,"2"
"258",1,889,210,266,"1"
"259",1,948,251,272,"2"
"260",1,950,218,282,"2"
"261",1,951,218,282,"1"
"262",1,955,251,272,"1"
"263",1,1011,200,280,"1"
"264",1,1029,259,256,"1"
"265",1,1030,259,256,"2"
"266",1,1032,220,267,"2"
"267",1,1036,239,260,"1"
"268",1,1057,238,269,"2"
"269",1,1059,238,269,"1"
"270",1,1060,245,233,"1"
"271",1,1065,250,215,"2"
"272",1,1070,231,208,"2"
"273",1,1071,231,208,"1"
"274",1,1079,223,243,"1"
"275",1,1085,274,253,"2"
"276",1,1086,223,243,"2"
"277",1,1090,232,216,"2"
"278",1,1091,232,216,"1"
"279",1,1094,217,228,"2"
"280",1,1102,217,228,"1"
"281",1,1115,183,226,"2"
"282",1,1118,263,242,"1"
"283",1,1124,263,242,"2"
"284",1,1134,197,249,"1"
"285",1,1138,197,249,"2"
"286",1,1139,NA,135,"2"
"287",1,1140,NA,135,"1"
"288",1,1162,230,275,"2"
"289",1,1163,230,275,"1"
"290",1,1182,44,40,"1"
"291",1,1190,45,35,"2"
"292",1,1191,45,35,"1"
"293",1,1198,323,332,"2"
"294",1,1202,326,334,"2"
"295",1,1207,326,334,"1"
"296",1,1209,323,332,"1"
"297",1,1214,349,292,"1"
"298",1,1219,143,130,"2"
"299",1,1223,349,292,"2"
"300",1,1225,297,315,"2"
"301",1,1231,297,315,"1"
"302",1,1235,131,309,"2"
"303",1,1252,363,299,"1"
"304",1,1254,301,318,"1"
"305",1,1261,301,318,"2"
"306",1,1264,363,299,"2"
"307",1,1273,312,327,"2"
"308",1,1282,342,284,"2"
"309",1,1283,342,284,"1"
"310",1,1293,350,316,"2"
"311",1,1310,298,314,"2"
"312",1,1313,298,314,"1"
"313",1,1314,344,302,"1"
"314",1,1315,344,302,"2"
"315",1,1319,319,331,"1"
"316",1,1320,225,104,"2"
"317",1,1328,225,104,"1"
"318",1,1332,259,66,"2"
"319",1,1333,265,175,"1"
"320",1,1337,265,175,"2"
"321",1,1342,259,66,"1"
"322",1,1365,229,187,"1"
"323",1,1367,229,187,"2"
"324",1,1377,160,168,"2"
"325",1,1379,160,168,"1"
"326",1,1380,136,67,"2"
"327",1,1381,136,67,"1"
"328",1,1387,317,291,"1"
"329",1,1390,355,307,"2"
"330",1,1391,355,307,"1"
"331",1,1401,317,291,"2"
"332",1,1411,262,155,"2"
"333",1,1413,262,155,"1"
"334",1,1417,120,162,"1"
"335",1,1419,120,162,"2"
"336",1,1422,365,288,"2"
"337",1,1435,365,288,"1"
"338",1,1462,308,328,"1"
"339",1,1463,308,328,"2"
"340",1,1466,343,290,"2"
"341",1,1467,343,290,"1"
"342",1,1477,108,203,"1"
"343",1,1479,118,213,"1"
"344",1,1481,118,213,"2"
"345",1,1485,165,190,"1"
"346",1,1486,165,135,"2"
"347",1,1501,222,97,"1"
"348",1,1510,336,289,"2"
"349",1,1521,348,285,"1"
"350",1,1525,333,300,"1"
"351",1,1526,115,236,"1"
"352",1,1530,395,341,"1"
"353",1,1532,395,341,"1"
"354",1,1539,370,397,"1"
"355",1,1540,400,382,"2"
"356",1,1541,400,382,"2"
"357",1,1550,388,346,"2"
"358",1,1561,395,341,"1"
"359",1,1563,115,236,"2"
"360",1,1566,115,236,"1"
"361",1,1569,405,337,"2"
"362",1,1575,406,374,"1"
"363",1,1577,406,374,"2"
"364",1,1585,394,351,"1"
"365",1,1586,394,351,"2"
"366",1,1588,405,337,"1"
"367",1,1594,392,364,"2"
"368",1,1597,403,339,"2"
"369",1,1604,403,339,"1"
"370",1,1609,392,364,"1"
"371",1,1612,390,338,"2"
"372",1,1619,390,338,"1"
"373",1,1623,393,360,"2"
"374",1,1626,393,360,"2"
"375",1,1629,399,347,"1"
"376",1,1638,414,396,"1"
"377",1,1644,415,354,"2"
