"id" "sex" "generation" "sire" "dam"
408 "F" "F2" -9997 -9996
409 "F" "F2" -9997 -9996
410 "F" "F2" -9997 -9996
411 "F" "F2" -9997 -9996
412 "F" "F2" -9997 -9996
413 "M" "F2" -9997 -9996
414 "M" "F2" -9997 -9996
415 "M" "F2" -9997 -9996
417 "F" "F2" -9997 -9996
418 "F" "F2" -9997 -9996
420 "F" "F2" -9997 -9996
422 "M" "F2" -9997 -9996
424 "M" "F2" -9997 -9996
425 "F" "F2" -9997 -9996
426 "M" "F2" -9997 -9996
428 "F" "F2" -9997 -9996
429 "M" "F2" -9997 -9996
431 "M" "F2" -9997 -9996
433 "F" "F2" -9997 -9996
436 "M" "F2" -9997 -9996
437 "M" "F2" -9997 -9996
438 "M" "F2" -9997 -9996
439 "M" "F2" -9997 -9996
441 "F" "F2" -9997 -9996
443 "M" "F2" -9997 -9996
445 "M" "F2" -9997 -9996
446 "M" "F2" -9997 -9996
447 "M" "F2" -9997 -9996
451 "M" "F2" -9997 -9996
452 "M" "F2" -9997 -9996
453 "F" "F2" -9997 -9996
454 "F" "F2" -9997 -9996
455 "M" "F2" -9997 -9996
458 "F" "F2" -9997 -9996
459 "M" "F2" -9997 -9996
460 "F" "F2" -9997 -9996
461 "M" "F2" -9997 -9996
462 "F" "F2" -9997 -9996
463 "F" "F2" -9997 -9996
466 "F" "F2" -9997 -9996
467 "M" "F2" -9997 -9996
468 "F" "F2" -9997 -9996
470 "F" "F2" -9997 -9996
472 "M" "F2" -9997 -9996
473 "M" "F2" -9997 -9996
474 "F" "F2" -9997 -9996
475 "M" "F2" -9997 -9996
476 "M" "F2" -9997 -9996
478 "M" "F2" -9997 -9996
1182 "M" "F2" -9997 -9996
1190 "F" "F2" -9997 -9996
1191 "M" "F2" -9997 -9996
545 "M" "F3" 100 116
569 "F" "F3" 186 167
572 "F" "F3" 87 132
575 "M" "F3" 186 167
578 "M" "F3" 87 132
662 "M" "F3" 84 198
679 "F" "F3" 127 141
680 "M" "F3" 127 141
684 "F" "F3" 154 113
691 "M" "F3" 154 113
692 "M" "F3" 125 128
694 "F" "F3" 125 128
696 "M" "F3" 165 202
697 "M" "F3" 165 202
699 "F" "F3" 73 101
705 "F" "F3" 73 101
730 "F" "F3" 196 124
731 "M" "F3" 196 124
733 "F" "F3" 204 121
738 "M" "F3" 204 121
759 "F" "F3" 195 178
789 "F" "F3" 68 201
792 "M" "F3" 68 201
853 "F" "F3" 123 191
854 "M" "F3" 123 191
888 "F" "F3" 210 266
889 "M" "F3" 210 266
948 "F" "F3" 251 272
950 "F" "F3" 218 282
951 "M" "F3" 218 282
955 "M" "F3" 251 272
1011 "M" "F3" 200 280
1029 "M" "F3" 259 256
1030 "F" "F3" 259 256
1032 "F" "F3" 220 267
1036 "M" "F3" 239 260
1057 "F" "F3" 238 269
1059 "M" "F3" 238 269
1060 "M" "F3" 245 233
1065 "F" "F3" 250 215
1070 "F" "F3" 231 208
1071 "M" "F3" 231 208
1079 "M" "F3" 223 243
1085 "F" "F3" 274 253
1086 "F" "F3" 223 243
1090 "F" "F3" 232 216
1091 "M" "F3" 232 216
1094 "F" "F3" 217 228
1102 "M" "F3" 217 228
1115 "F" "F3" 183 226
1118 "M" "F3" 263 242
1124 "F" "F3" 263 242
1134 "M" "F3" 197 249
1138 "F" "F3" 197 249
1139 "F" "F3" 84 135
1140 "M" "F3" 359 135
1162 "F" "F3" 230 275
1163 "M" "F3" 230 275
1198 "F" "F3" 323 332
1202 "F" "F3" 326 334
1207 "M" "F3" 326 334
1209 "M" "F3" 323 332
1214 "M" "F3" 349 292
1219 "F" "F3" 143 130
1223 "F" "F3" 349 292
1225 "F" "F3" 297 315
1231 "M" "F3" 297 315
1235 "F" "F3" 131 309
1252 "M" "F3" 363 299
1254 "M" "F3" 301 318
1261 "F" "F3" 301 318
1264 "F" "F3" 363 299
1273 "F" "F3" 312 327
1282 "F" "F3" 342 284
1283 "M" "F3" 342 284
1293 "F" "F3" 350 316
1310 "F" "F3" 298 314
1313 "M" "F3" 298 314
1314 "M" "F3" 344 302
1315 "F" "F3" 344 302
1319 "M" "F3" 319 331
1320 "F" "F3" 225 104
1328 "M" "F3" 225 104
1332 "F" "F3" 259 66
1333 "M" "F3" 265 175
1337 "F" "F3" 265 175
1342 "M" "F3" 259 66
1365 "M" "F3" 229 187
1367 "F" "F3" 229 187
1377 "F" "F3" 160 168
1379 "M" "F3" 160 168
1380 "F" "F3" 136 67
1381 "M" "F3" 136 67
1387 "M" "F3" 317 291
1390 "F" "F3" 355 307
1391 "M" "F3" 355 307
1401 "F" "F3" 317 291
1411 "F" "F3" 262 155
1413 "M" "F3" 262 155
1417 "M" "F3" 120 162
1419 "F" "F3" 120 162
1422 "F" "F3" 365 288
1435 "M" "F3" 365 288
1462 "M" "F3" 308 328
1463 "F" "F3" 308 328
1466 "F" "F3" 343 290
1467 "M" "F3" 343 290
1477 "M" "F3" 108 203
1479 "M" "F3" 118 213
1481 "F" "F3" 118 213
1485 "M" "F3" 165 190
1486 "F" "F3" 165 135
1501 "M" "F3" 222 97
