"id"	"gen"
26580	50
26581	50
26582	50
26583	50
26584	50
26585	50
26586	50
26587	50
26588	50
26589	50
26590	50
26591	50
26592	50
26593	50
26594	50
26595	50
45493	50
45494	50
45496	50
45497	50
45498	50
45499	50
46001	50
46002	50
46004	50
46005	50
46006	50
46007	50
46008	50
46009	50
46010	50
46011	50
46012	50
46013	50
46014	50
46015	50
46016	50
46017	50
46019	50
46020	50
46023	50
46024	50
46027	50
46126	50
46127	50
46128	50
46129	50
46130	50
46131	50
46132	50
46133	50
46134	50
46135	50
46136	50
46137	50
46138	50
46139	50
46140	50
46141	50
46142	50
46143	50
46144	50
46145	50
46146	50
46147	50
46148	50
46149	50
46150	50
46151	50
46152	50
46153	50
46154	50
46155	50
46156	50
46157	50
46307	50
46319	50
46320	50
46341	50
46345	50
46349	50
46353	50
46356	50
46357	50
46360	50
46361	50
46364	50
46365	50
46369	50
46372	50
46386	50
46388	50
46389	50
46392	50
46393	50
46397	50
46429	50
46430	50
46433	50
46434	50
46437	50
46438	50
46442	50
46446	50
46447	50
46450	50
46451	50
46454	50
46455	50
46457	50
46458	50
46461	50
46462	50
46465	50
46466	50
46469	50
46470	50
46473	50
46474	50
46478	50
46479	50
46482	50
46483	50
46486	50
46487	50
46490	50
46491	50
46497	50
46498	50
46640	50
46641	50
46644	50
46645	50
46672	50
46675	50
46695	51
48290	51
48304	51
48305	51
48306	51
48311	51
48313	51
48314	51
48316	51
48325	51
48326	51
48328	51
48331	51
48332	51
48337	51
48342	51
48344	51
48345	51
48347	51
48348	51
48352	51
48353	51
48355	51
48358	51
48361	51
48362	51
48365	51
48366	51
48369	51
48370	51
48373	51
48374	51
48377	51
48379	51
48381	51
48382	51
48383	51
48384	51
48387	51
48390	51
48391	51
48394	51
48395	51
48398	51
48399	51
48402	51
48406	51
48408	51
48409	51
48411	51
48412	51
48416	51
48417	51
48420	51
48423	51
48425	51
48426	51
48432	51
48436	51
48439	51
48441	51
48443	51
48444	51
48445	51
48447	51
48449	51
48452	51
48456	51
48464	51
48468	51
48472	51
48473	51
48475	51
48477	51
48478	51
48479	51
48482	51
48486	51
48489	51
48490	51
48494	51
48495	51
48496	51
49004	51
49007	51
49008	51
49011	51
49012	51
49015	51
49016	51
49019	51
49020	51
49024	51
49025	51
49026	51
49027	51
49028	51
49031	51
49032	51
49035	51
49036	51
49040	51
49041	51
49045	51
49048	51
49052	51
49055	51
49056	51
49210	51
49211	51
49213	51
49214	51
49217	51
49218	51
49221	51
49222	51
49226	51
49229	51
49230	51
49231	51
49233	51
49234	51
49237	51
49238	51
49240	51
49243	51
49245	51
49246	51
49249	51
49251	51
49254	51
49255	51
49258	51
49259	51
49262	51
49263	51
49266	51
49267	51
49270	51
49274	51
49278	51
49282	51
49286	51
49287	51
49289	51
49293	51
49294	51
49297	51
49298	51
49383	53
49401	51
49404	51
49405	51
49408	51
49409	51
49414	51
49416	51
49417	51
49424	51
49426	51
49427	52
49430	52
49431	52
49432	52
49435	52
49436	52
49439	52
49440	52
49447	51
49448	51
49451	51
49452	51
49453	51
49456	51
49461	52
49462	52
49466	52
49467	52
49470	52
49471	52
49472	52
49475	52
49476	52
49479	52
49482	52
49485	52
49486	52
49487	52
49490	52
49494	52
49497	52
49498	52
49499	52
50076	53
50078	53
50085	53
50086	53
50092	53
50094	53
50095	53
50099	53
50100	53
50102	52
50103	52
50106	52
50107	52
50114	52
50115	52
50118	52
50119	52
50121	52
50122	52
50125	52
50129	52
50131	52
50132	52
50134	52
50137	52
50140	52
50143	52
50146	52
50147	52
50148	52
50150	51
50151	51
50152	52
50153	52
50156	52
50158	52
50159	52
50163	52
50164	52
50168	52
50172	52
50182	52
50185	52
50186	52
50189	52
50190	52
50191	52
50194	52
50195	52
50198	52
50201	52
50202	52
50205	52
50206	52
50210	52
50211	52
50216	52
50217	52
50220	52
50223	52
50225	52
50226	52
50230	52
50234	52
50235	52
50237	52
50238	52
50241	52
50242	52
50245	52
50248	52
50252	52
50253	52
50255	52
50258	52
50259	52
50262	52
50265	52
50266	52
50269	52
50279	52
50282	52
50286	52
50288	52
50293	52
50296	52
50299	52
50300	52
50303	52
50304	52
50310	52
50311	52
50315	52
50316	52
50322	52
50326	52
50327	52
50330	52
50333	52
50335	52
50336	52
50340	52
50341	52
50344	52
50345	52
50348	52
50351	52
50354	52
50355	52
50358	52
50359	52
50364	52
50365	52
50369	52
50370	52
50374	52
50375	52
50377	52
50382	52
50383	52
50385	52
50386	52
50390	52
50391	52
50396	52
50397	52
50404	52
50405	52
50406	52
50407	52
50411	52
50412	52
50417	52
50419	52
50420	52
50421	52
50429	52
50430	52
50431	52
50432	52
50474	53
50475	53
50478	53
50479	53
50482	53
50485	53
50486	53
50487	53
50490	53
50491	53
50494	53
50496	53
50497	53
50500	53
50701	53
50703	53
50704	53
50707	53
50708	53
50712	53
50715	53
50716	53
50719	53
50722	53
50723	53
50728	53
50729	53
50731	53
50735	53
50736	53
50740	53
50741	53
50744	53
50745	53
50746	53
50749	53
50752	53
50753	53
50755	53
50756	53
50760	53
50763	53
50764	53
50767	53
50770	53
50771	53
50774	53
50775	53
50778	53
50779	53
50784	53
50787	53
50788	53
50792	53
50793	53
50794	53
50795	53
50797	53
50798	53
50799	53
51201	53
51202	53
51204	53
51205	53
51209	53
51210	53
51211	53
51216	53
51219	53
51220	53
51221	53
51223	53
51224	53
51228	53
51229	53
51233	53
51234	53
51236	53
51239	53
51240	53
51241	53
51243	53
51244	53
51245	53
51247	53
51250	53
51254	53
51257	53
51258	53
51259	53
51262	53
51263	53
51268	53
51272	53
51275	53
51276	53
51277	53
51280	53
51281	53
51283	53
51284	53
51288	53
51289	53
51291	53
51294	53
51295	53
51297	53
51302	53
51303	53
51304	53
51307	53
51308	53
51309	53
51313	53
51319	53
51324	53
51327	53
51328	53
51329	53
51334	53
51335	53
51338	53
51339	53
51342	53
51345	53
51346	53
51349	53
51350	53
51351	53
51355	53
51356	53
51359	53
51360	53
51361	53
51364	53
51367	53
51368	53
51371	53
51372	53
51375	53
51376	53
51377	53
51380	53
51383	53
51384	53
51387	53
51388	53
51392	53
51395	53
51396	53
51399	53
51400	53
51420	53
51454	53
51455	53
51461	53
51463	53
51602	53
51603	53
51604	53
51607	53
51608	53
51609	53
51613	53
51614	53
51616	53
51618	53
51621	53
51624	53
51627	53
51628	53
51631	53
51634	53
51641	53
51642	53
51644	53
51645	53
51648	53
51651	53
51654	53
51656	53
51657	53
51660	54
51661	53
51662	54
51665	54
51666	54
51669	54
51672	54
51673	54
51676	54
51681	54
51682	54
51683	54
51686	54
51689	54
51690	54
51693	54
51694	54
51695	54
51698	54
51699	54
51700	54
51705	54
51706	54
51709	54
51710	54
51713	54
51714	54
51717	54
51718	54
51722	54
51723	54
51727	54
51728	54
51731	54
51734	54
51737	54
51738	54
51739	54
51742	54
51745	54
51746	54
51747	54
51748	54
51752	54
51753	54
51756	54
51759	54
51760	54
51764	54
51765	54
51767	54
51770	54
51771	54
51774	54
51775	54
51778	54
51779	54
51782	54
51785	54
51791	54
51794	54
51795	54
51801	54
51804	54
