id,gen,cage,fam,dam,sire,sex,ppi.weight,ppi.age,
46349,50,Test F50-21,BrF49-49,45449,45327,F,18.4,69,
46353,50,Test F50-21,BrF49-53,45486,45420,F,25.6,69,
46356,50,Test F50-24,BrF49-54,45418,45348,M,40,69,
46357,50,Test F50-23,BrF49-54,45418,45348,F,19.6,69,
46360,50,Test F50-24,BrF49-50,45454,45341,M,27.9,69,
46361,50,Test F50-23,BrF49-50,45454,45341,F,26,69,
46364,50,Test F50-24,BrF49-42,45354,45489,M,32.2,68,
46365,50,Test F50-23,BrF49-42,45354,45489,F,20.5,68,
46368,50,Test F50-24,BrF49-43,45356,45326,M,29.7,69,
46369,50,Test F50-23,BrF49-43,45356,45326,F,25.5,69,
46372,50,Test F50-25,BrF49-51,45455,45480,M,34.6,68,
46386,50,Test F50-25,BrF49-52,45362,45483,M,30.1,69,
46388,50,Test F50-36,BrF49-71,45430,45391,M,28.2,71,
46389,50,Test-F50-35,BrF49-71,45430,45391,F,20.5,71,
46392,50,Test F50-36,BrF49-75,45439,45462,M,40.8,69,
46393,50,Test-F50-35,BrF49-75,45439,45462,F,27,69,
46397,50,Test F50-37,BrF49-65,45375,45458,F,21.3,71,
46429,50,Test F50-27,BrF49-57,45476,45330,F,27.8,76,
46430,50,Test F50-28,BrF49-57,45476,45330,M,40,76,
46433,50,Test F50-27,BrF49-81,45461,45387,F,21.7,72,
46434,50,Test F50-28,BrF49-81,45461,45387,M,26,72,
46437,50,Test F50-27,BrF49-66,45378,45429,F,22.6,72,
46438,50,Test F50-28,BrF49-66,45378,45429,M,31.6,72,
46442,50,Test F50-28,BrF49-67,45379,45422,M,29.5,72,
46445,50,Test-F50-39,BrF49-45,45388,45495,F,20.5,66,
46446,50,Test F50-30,BrF49-61,45365,45453,M,30.4,72,
46447,50,Test F50-29,BrF49-61,45365,45453,F,24.2,72,
46450,50,Test F50-30,BrF49-63,45373,45423,M,32.5,71,
46451,50,Test F50-29,BrF49-63,45373,45423,F,23.8,71,
46454,50,Test F50-30,BrF49-72,45433,45474,M,38.7,72,
46455,50,Test F50-29,BrF49-72,45433,45474,F,26,72,
46457,50,Test F50-29,BrF49-60,45350,45306,F,19.3,72,
46458,50,Test F50-30,BrF49-60,45350,45306,M,29.2,72,
46461,50,Test F50-31,BrF49-78,45448,45345,F,21.9,72,
