id	tissue	samp.id	lib.name	index	rin	con.RNA	lib.size	con.cDNA	sex	age																		
51742	hip	hip51742	AIL_RNA5b	12	9.0	177.19	291	2.52																				
51980	hip	hip51980	AIL_RNA3c	13	9.0	281.81	271	4.46																				
51994	hip	hip51994	AIL_RNA8a	25	9.1	249.45	287	25.08																				
51759	hip	hip51759	AIL_RNA6b	16	8.8	251.62	295	3.07																				
49498	hip	hip49498	AIL_RNA4b	19	9.3	264.93	295	7.77																				
51375	hip	hip51375	AIL_RNA4d	15	9.0	292.56	290	4.91																				
51375	hip	hip51375	AIL_RNA5a	15	9.0	292.56	290	4.91																				
51388	hip	hip51388	AIL_RNA2b	18	8.8	260.91	294	10.46																				
51713	hip	hip51713	AIL_RNA4c	20	9.0	221.12	301	3.74																				
51713	hip	hip51713	AIL_RNA5d	20	9.0	221.12	301	3.74																				
51734	hip	hip51734	AIL_RNA2d	21	9.0	202.06	290	2.52																				
52059	hip	hip52059	AIL_RNA4c	23	8.7	373.26	291	5.64																				
52059	hip	hip52059	AIL_RNA6a	23	8.7	373.26	291	5.64																				
52076	hip	hip52076	AIL_RNA4d	25	8.8	288.43	297	8.37																				
52076	hip	hip52076	AIL_RNA6c	25	8.8	288.43	297	8.37																				
54178	hip	hip54178	AIL_RNA3c	27	9.0	335.05	310	5.55																				
51346	hip	hip51346	AIL_RNA5d	5	9.0	336.44	309	1.82																				
52003	hip	hip52003	AIL_RNA4a	6	8.7	228.99	279	28.83																				
52022	hip	hip52022	AIL_RNA8b	12	8.8	237.14	277	13.96																				
51811	hip	hip51811	AIL_RNA4a	19	8.9	233.77	268	27.55																				
52077	hip	hip52077	AIL_RNA5d	2	8.9	372.24	287	3.04																				
51833	hip	hip51833	AIL_RNA5d	4	9.3	217.80	298	1.77																				
51840	hip	hip51840	AIL_RNA5c	7	8.6	300.36	309	5.91																				
52011	hip	hip52011	AIL_RNA3b	16	9.1	303.13	318	6.26																				
54104	hip	hip54104	AIL_RNA3b	1	9.2	370.04	332	3.86																				
51850	hip	hip51850	AIL_RNA4c	8	8.9	285.52	296	3.68																				
51850	hip	hip51850	AIL_RNA5d	8	8.9	285.52	296	3.68																				
52139	hip	hip52139	AIL_RNA3c	10	8.7	238.43	304	24.57																				
51335	hip	hip51335	AIL_RNA4c	11	9.4	335.88	280	2.52																				
51335	hip	hip51335	AIL_RNA6b	11	9.4	335.88	280	2.52																				
52036	hip	hip52036	AIL_RNA4b	3	8.6	272.96	283	34.33																				
